user_id,page,happened_at
47721,rooms.lesson.rev.step.content,2017-03-01 18:06
172228,rooms.view.step.content,2017-03-01 14:53
132176,rooms.view.step.content,2017-03-01 19:21
44855,rooms.homework-showcase,2017-03-01 13:11
113221,rooms.view.step.content,2017-03-01 19:33
171667,rooms.view.step.content,2017-03-01 09:46
84700,rooms.lesson.rev.step.content,2017-03-01 15:47
228093,rooms.view.step.content,2017-03-01 16:00
65370,rooms.view.step.content,2017-03-01 18:30
43501,rooms.view.step.content,2017-03-01 12:04
95034,rooms.view.step.content,2017-03-01 18:20
170118,rooms.test.step,2017-03-01 20:01
215957,rooms.lesson.rev.step.content,2017-03-01 06:33
62982,rooms.view.step.content,2017-03-01 22:03
165812,rooms.view.step.content,2017-03-01 05:22
53687,rooms.view.step.content,2017-03-01 05:55
186747,rooms.lesson.rev.step.content,2017-03-01 05:59
227789,rooms.lesson.rev.step.content,2017-03-01 19:31
218542,rooms.student-showcase,2017-03-01 13:13
181791,rooms.view.step.content,2017-03-01 17:29
170118,rooms.view.step.content,2017-03-01 17:39
128909,rooms.lesson.rev.step.content,2017-03-01 07:36
59683,rooms.lesson.rev.step.content,2017-03-01 16:06
129261,rooms.homework-showcase,2017-03-01 17:54
3230,rooms.homework-showcase,2017-03-01 15:10
236755,rooms.lesson.rev.step.content,2017-03-01 17:28
146027,rooms.view.step.content,2017-03-01 14:54
113417,rooms.homework-showcase,2017-03-01 11:07
18434,rooms.student-showcase,2017-03-01 15:13
52269,rooms.lesson.rev.step.content,2017-03-01 08:36
198723,rooms.lesson.rev.step.content,2017-03-01 06:43
79879,rooms.view.step.content,2017-03-01 17:43
235855,rooms.homework-showcase,2017-03-01 17:53
57711,rooms.view.step.content,2017-03-01 18:43
83498,rooms.lesson.rev.step.content,2017-03-01 05:02
100566,rooms.homework-showcase,2017-03-01 15:25
228830,rooms.view.step.content,2017-03-01 19:25
173219,rooms.view.step.content,2017-03-01 10:31
